"","superkingdom","phylum","class","order","family","genus","species"
"b69240532139b8747dfbcdb809b21480","Eukaryota","Ascomycota","Dothideomycetes","Mycosphaerellales","Mycosphaerellaceae","Ramularia",NA
"035adcafe948de74e9f1c5ebd1e72e57","Eukaryota","Ascomycota","Dothideomycetes","Mycosphaerellales","Mycosphaerellaceae","Ramularia",NA
"712cabd7a093e2fca9ea65b51e953180","Eukaryota","Ascomycota","Dothideomycetes","Mycosphaerellales","Mycosphaerellaceae","Ramularia",NA
"f249d0ef5242da762b60c678dffe7947","Eukaryota","Basidiomycota",NA,NA,NA,NA,NA
"d221afb3b31e5a16059627333fa8add4","Eukaryota","Ascomycota","Arthoniomycetes","Lichenostigmatales","Phaeococcomycetaceae","Phaeococcomyces","Phaeococcomyces sp."
"a2d7e570921cfda8b4d0fb56fa7538fa","Eukaryota","Ascomycota","Leotiomycetes","Thelebolales","Thelebolaceae","Thelebolus","Thelebolus sp. MKOTU58"
"768b0791b9acb56f55cd856810a443d2",NA,NA,NA,NA,NA,NA,NA
"968a3b28ba7453c7f17c0f97430fde09","Eukaryota","Basidiomycota","Agaricomycetes","Atheliales","Atheliaceae","Byssocorticium","Byssocorticium sp."
"56e7fabdfeeceb0c3a7830ac39963f2e","Eukaryota","Ascomycota","Dothideomycetes","Cladosporiales","Cladosporiaceae","Cladosporium","Cladosporium sphaerospermum"
"a9201ca63684f817ca5872bd6cdc6a8e","Eukaryota","Ascomycota","Dothideomycetes","Cladosporiales","Cladosporiaceae","Cladosporium","Cladosporium sphaerospermum"
"bf97ea1faf396086550932cbc7c3f14c","Eukaryota","Ascomycota","Dothideomycetes","Cladosporiales","Cladosporiaceae","Cladosporium","Cladosporium sphaerospermum"
"8765429f0e7554b2ec1065297aaa0b2d","Eukaryota","Ascomycota","Dothideomycetes","Cladosporiales","Cladosporiaceae","Cladosporium","Cladosporium sphaerospermum"
"af048d84239268a8f6fd6cf84a38cf99","Eukaryota","Ascomycota","Dothideomycetes","Cladosporiales","Cladosporiaceae","Cladosporium","Cladosporium sphaerospermum"
"d4c37adee4c285a2d2ef0e0e99927ce9","Eukaryota","Ascomycota","Dothideomycetes","Cladosporiales","Cladosporiaceae","Cladosporium","Cladosporium sphaerospermum"
"a0f289f73a6f7109f8157db2236701a5",NA,NA,NA,NA,NA,NA,NA
"b33d4365bf788aed6556517bb7558a58","Eukaryota","Ascomycota","Dothideomycetes","Pleosporales",NA,NA,"Pleosporales sp."
"7bca6bfb4d8ab7b2f664e1a9f0ce30b2","Eukaryota","Ascomycota","Dothideomycetes","Pleosporales",NA,NA,"Pleosporales sp."
"c50d7687e609915d6032c743c35da4d2","Eukaryota","Ascomycota","Dothideomycetes","Pleosporales",NA,NA,"Pleosporales sp."
"afb981b6b09112f6033f8bd49de82ba6","Eukaryota","Ascomycota","Dothideomycetes","Cladosporiales","Cladosporiaceae","Cladosporium",NA
"36f4c9fca5a8f65b1dba505a116c9514","Eukaryota","Ascomycota","Dothideomycetes","Cladosporiales","Cladosporiaceae","Cladosporium",NA
"495fdacd5b9bb2bb5230bbb25f8d7014","Eukaryota","Ascomycota","Dothideomycetes","Cladosporiales","Cladosporiaceae","Cladosporium",NA
"560f6a06ab8cd9cb1c97e71602bdb24f","Eukaryota","Ascomycota","Dothideomycetes","Cladosporiales","Cladosporiaceae","Cladosporium",NA
"5980d923d8a25bae83073e7776542d6d","Eukaryota","Ascomycota","Dothideomycetes","Cladosporiales","Cladosporiaceae","Cladosporium",NA
"5ed2f64a92fcb0e08a84803d2be486fb","Eukaryota","Ascomycota","Dothideomycetes","Cladosporiales","Cladosporiaceae","Cladosporium",NA
"98cef988b331c0f998505fd6ca9f41fb","Eukaryota","Ascomycota","Dothideomycetes","Cladosporiales","Cladosporiaceae","Cladosporium",NA
"2e7ee6b4c5f257fe170992ec3051e672","Eukaryota","Ascomycota","Dothideomycetes","Cladosporiales","Cladosporiaceae","Cladosporium",NA
"ee39bf606bf7057f6a97600cb92c669d","Eukaryota","Ascomycota","Dothideomycetes","Cladosporiales","Cladosporiaceae","Cladosporium",NA
"365011e1733d41a9d747bb84823c4b4f","Eukaryota","Ascomycota","Dothideomycetes","Cladosporiales","Cladosporiaceae","Cladosporium",NA
"1e3033e49281296bb369aed46db02fd5","Eukaryota","Ascomycota","Dothideomycetes","Cladosporiales","Cladosporiaceae","Cladosporium",NA
"331a045cc0a7a808da27942abcfbd90c","Eukaryota","Ascomycota","Dothideomycetes","Cladosporiales","Cladosporiaceae","Cladosporium",NA
"f7c77fb5e79c0696e95dd278f2bb123b","Eukaryota","Ascomycota","Dothideomycetes","Cladosporiales","Cladosporiaceae","Cladosporium",NA
"d1a9db04a3f66d03c1734836c0ef32aa","Eukaryota","Ascomycota","Dothideomycetes","Cladosporiales","Cladosporiaceae","Cladosporium",NA
"6d30c286c659235f1c78706029edc0bd","Eukaryota","Ascomycota","Dothideomycetes","Cladosporiales","Cladosporiaceae","Cladosporium",NA
"52df8d9fe80e7fea46e841416092e596","Eukaryota","Ascomycota","Dothideomycetes","Cladosporiales","Cladosporiaceae","Cladosporium",NA
