"","superkingdom","phylum","class","order","family","genus","species"
"6d3e329b1d0208461e8b55fe53e28d08","Bacteria","Actinobacteria","Actinomycetia","Propionibacteriales","Nocardioidaceae","Nocardioides",NA
"fdffdae659e82bc519149e3f295e2bb2","Bacteria","Actinobacteria","Actinomycetia","Propionibacteriales","Nocardioidaceae","Nocardioides",NA
"1077af70dea1bf05d6124e32d0e15ff7","Bacteria","Actinobacteria","Actinomycetia","Propionibacteriales","Nocardioidaceae","Nocardioides",NA
"1930f8c238010cd9e93ef195ee71b0e0","Bacteria","Actinobacteria","Actinomycetia","Propionibacteriales","Nocardioidaceae","Nocardioides",NA
"e90650421870cecb6ee26abebbf6317a","Bacteria","Actinobacteria","Actinomycetia","Propionibacteriales","Nocardioidaceae","Nocardioides",NA
"b8be06b3bcb7950800087c7b8c6ab770","Bacteria","Actinobacteria","Actinomycetia","Propionibacteriales","Nocardioidaceae","Nocardioides","Nocardioides euryhalodurans"
"36bd580b7b9cb13ebdbbe18cc2ac2918","Bacteria","Actinobacteria","Actinomycetia","Propionibacteriales","Nocardioidaceae","Nocardioides",NA
"238eae44bb57003bbd9f0fa7408d3ca4","Bacteria","Actinobacteria","Actinomycetia","Propionibacteriales","Nocardioidaceae","Nocardioides","Nocardioides lijunqiniae"
"ed00e49f7ea6b43d8c06f5394c8bfaad","Bacteria","Actinobacteria","Actinomycetia","Propionibacteriales","Nocardioidaceae","Nocardioides","Nocardioides deserti"
"a5f6f04876df2a154c369aba9b603209","Bacteria","Actinobacteria","Actinomycetia","Propionibacteriales","Nocardioidaceae","Nocardioides","Nocardioides rubriscoriae"
"80592d9f9eeac62d58ed90c83dba4878","Bacteria","Actinobacteria","Actinomycetia","Propionibacteriales","Nocardioidaceae","Nocardioides","Nocardioides endophyticus"
"57febafa7a55592ded0a251a8f6cc7b7","Bacteria","Actinobacteria","Actinomycetia","Propionibacteriales","Nocardioidaceae","Nocardioides","Nocardioides pacificus"
"b181f40e247ac9ce54b5d8193a3ecca9","Bacteria","Actinobacteria","Actinomycetia","Propionibacteriales","Nocardioidaceae","Nocardioides","Nocardioides dilutus"
"655b29fae9b0714ac28e6b7c353f993e","Bacteria","Actinobacteria","Actinomycetia","Propionibacteriales","Nocardioidaceae","Nocardioides",NA
"fa016d503263f840ca648f5a1893a0a0","Bacteria","Actinobacteria","Actinomycetia","Propionibacteriales","Nocardioidaceae","Marmoricola",NA
"9c11cbcaced2d0e004d145c27e57493d","Bacteria","Actinobacteria","Actinomycetia","Micrococcales","Micrococcaceae","Arthrobacter",NA
